forecast_date,city_id,temp,humidity,wind_speed,rain_prob,description,date_extraction
2020-04-22,2,17.3,62.3,13.0,0.0,Partly cloudy throughout the day.,2020-04-21
2020-04-23,2,17.8,68.0,10.7,0.0,Partly cloudy throughout the day.,2020-04-22
2020-04-24,2,18.4,60.5,14.6,100.0,Partly cloudy throughout the day with early morning rain.,2020-04-23
2020-04-25,2,17.6,65.8,19.8,100.0,Partly cloudy throughout the day with late afternoon rain.,2020-04-24
2020-04-26,2,16.3,71.6,11.2,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-04-25
2020-04-27,2,16.2,73.4,23.5,100.0,Partly cloudy throughout the day with rain.,2020-04-26
2020-04-28,2,13.3,81.2,17.9,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-04-27
2020-04-29,2,13.9,71.7,11.1,100.0,Cloudy skies throughout the day with rain clearing later.,2020-04-28
2020-04-30,2,14.2,76.5,23.5,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-04-29
2020-05-01,2,11.9,86.5,18.2,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-04-30
2020-05-02,2,14.0,88.0,15.4,100.0,Cloudy skies throughout the day with a chance of rain throughout the day.,2020-05-01
2020-05-03,2,15.8,77.4,10.0,100.0,Cloudy skies throughout the day with rain clearing later.,2020-05-02
2020-05-04,2,18.4,69.7,26.1,100.0,Partly cloudy throughout the day with morning rain.,2020-05-03
2020-05-05,2,20.9,58.3,28.3,100.0,Partly cloudy throughout the day with rain.,2020-05-04
2020-05-06,2,16.7,71.5,23.2,0.0,Partly cloudy throughout the day.,2020-05-05
2020-05-07,2,17.8,61.2,10.6,0.0,Partly cloudy throughout the day.,2020-05-06
2020-05-08,2,20.9,47.8,33.8,0.0,Partly cloudy throughout the day.,2020-05-07
2020-05-09,2,20.0,43.8,27.9,0.0,Partly cloudy throughout the day.,2020-05-08
2020-05-10,2,18.0,68.2,21.2,100.0,Cloudy skies throughout the day with rain.,2020-05-09
