datetime,temp,feels_like,temp_min,temp_max,humidity,wind_speed,rain_prob,description,city_name,city_country,date_extraction
2025-07-13 15:00:00,22.28,22.37,22.28,22.28,69,1.06,65.0,light rain,Arrondissement de Lyon,FR,2025-07-12
2025-07-12 15:00:00,25.84,25.34,25.84,25.94,33,4.77,0.0,overcast clouds,Arrondissement de Marseille,FR,2025-07-12
2025-07-12 18:00:00,25.35,24.99,24.38,25.35,40,3.35,0.0,overcast clouds,Arrondissement de Marseille,FR,2025-07-12
2025-07-12 21:00:00,21.67,21.38,19.59,21.67,57,1.7,100.0,light rain,Arrondissement de Marseille,FR,2025-07-12
2025-07-13 00:00:00,16.38,15.88,16.38,16.38,69,1.93,100.0,light rain,Arrondissement de Marseille,FR,2025-07-12
2025-07-13 03:00:00,15.15,14.63,15.15,15.15,73,2.94,49.0,light rain,Arrondissement de Marseille,FR,2025-07-12
2025-07-13 06:00:00,20.02,19.88,20.02,20.02,69,1.92,8.0,scattered clouds,Arrondissement de Marseille,FR,2025-07-12
2025-07-13 09:00:00,25.22,25.18,25.22,25.22,53,2.76,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-12
2025-07-13 12:00:00,24.95,25.07,24.95,24.95,60,4.95,0.0,clear sky,Arrondissement de Marseille,FR,2025-07-12
2025-07-13 15:00:00,24.59,24.8,24.59,24.59,65,3.58,0.0,few clouds,Arrondissement de Marseille,FR,2025-07-12
2025-07-12 15:00:00,17.91,17.53,17.91,17.91,68,3.04,100.0,light rain,Arrondissement de Nice,FR,2025-07-12
2025-07-12 18:00:00,17.32,16.96,16.13,17.32,71,1.0,98.0,light rain,Arrondissement de Nice,FR,2025-07-12
2025-07-12 21:00:00,14.99,14.71,13.53,14.99,83,1.96,20.0,light rain,Arrondissement de Nice,FR,2025-07-12
2025-07-13 00:00:00,11.95,11.71,11.95,11.95,96,1.27,99.0,light rain,Arrondissement de Nice,FR,2025-07-12
2025-07-13 03:00:00,10.57,10.06,10.57,10.57,91,2.39,20.0,light rain,Arrondissement de Nice,FR,2025-07-12
2025-07-13 06:00:00,11.92,10.89,11.92,11.92,66,0.23,0.0,scattered clouds,Arrondissement de Nice,FR,2025-07-12
2025-07-13 09:00:00,16.64,15.72,16.64,16.64,52,2.81,0.0,clear sky,Arrondissement de Nice,FR,2025-07-12
2025-07-13 12:00:00,19.37,18.51,19.37,19.37,44,3.73,19.0,clear sky,Arrondissement de Nice,FR,2025-07-12
2025-07-13 15:00:00,14.63,14.03,14.63,14.63,72,1.85,40.0,light rain,Arrondissement de Nice,FR,2025-07-12
2025-07-12 15:00:00,28.31,28.17,28.31,28.95,43,2.41,0.0,clear sky,Paris,FR,2025-07-12
2025-07-12 18:00:00,28.35,27.98,28.35,28.44,40,4.38,0.0,few clouds,Paris,FR,2025-07-12
2025-07-12 21:00:00,25.78,25.43,24.51,25.78,39,3.37,0.0,few clouds,Paris,FR,2025-07-12
2025-07-13 00:00:00,21.07,20.38,21.07,21.07,44,2.75,0.0,few clouds,Paris,FR,2025-07-12
2025-07-13 03:00:00,17.92,17.28,17.92,17.92,58,2.04,0.0,clear sky,Paris,FR,2025-07-12
2025-07-13 06:00:00,20.71,20.25,20.71,20.71,54,2.04,0.0,clear sky,Paris,FR,2025-07-12
2025-07-13 09:00:00,25.55,25.13,25.55,25.55,37,2.03,0.0,clear sky,Paris,FR,2025-07-12
2025-07-13 12:00:00,30.43,28.67,30.43,30.43,22,1.45,0.0,clear sky,Paris,FR,2025-07-12
2025-07-13 15:00:00,32.4,30.3,32.4,32.4,19,1.77,0.0,clear sky,Paris,FR,2025-07-12
2025-07-12 15:00:00,25.99,25.99,25.99,26.09,57,3.99,0.0,overcast clouds,Toulouse,FR,2025-07-12
2025-07-12 18:00:00,24.96,25.18,22.89,24.96,64,2.62,98.0,light rain,Toulouse,FR,2025-07-12
2025-07-12 21:00:00,22.45,22.71,20.68,22.45,75,2.65,95.0,moderate rain,Toulouse,FR,2025-07-12
2025-07-13 00:00:00,19.22,19.55,19.22,19.22,90,0.81,95.0,light rain,Toulouse,FR,2025-07-12
2025-07-13 03:00:00,19.12,19.54,19.12,19.12,94,2.19,0.0,broken clouds,Toulouse,FR,2025-07-12
